"Add New Testimonial","Add New Testimonial"
"Edit Testimonial","Edit Testimonial"
"Delete Testimonial","Delete Testimonial"
"Delete Selected","Delete Selected"
"Save Testimonial","Save Testimonial"
"Reset","Reset"
"Export","Export"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Actions","Actions"
"Are you sure you want to delete this testimonial?","Are you sure you want to delete this testimonial?"
"Company Name","Company Name"
"Name","Name"
"Post","Post"
"Message","Message"
"Profile Picture","Profile Picture"
"Created At","Created At"
"Updated At","Updated At"
"Testimonials","Testimonials"
"Previous","Previous"
"Next","Next"
"Testimonial saved successfully","Testimonial saved successfully"
"Testimonial deleted successfully","Testimonial deleted successfully"
"Selected testimonials deleted successfully","Selected testimonials deleted successfully"
"You do not have permission to perform this action","You do not have permission to perform this action"
